DATETIME, TEMP-INTERNA, TEMP-EXTERNA, TEMP-REFERENCIA, ACIONAMENTO-ATUADOR(%)
23-03-2021-10:51:31,37.919922,26.059999,35.000000,-100
23-03-2021-10:51:33,38.510742,26.070000,35.000000,-100
23-03-2021-10:51:35,38.295898,26.070000,35.000000,-100
23-03-2021-10:51:38,38.295898,26.070000,35.000000,-100
23-03-2021-10:51:40,38.027344,26.040001,35.000000,-100
23-03-2021-10:51:42,38.671875,26.030001,35.000000,-100
23-03-2021-10:51:45,38.994141,26.010000,35.000000,-100
23-03-2021-10:51:47,38.457031,26.010000,35.000000,-98
23-03-2021-10:51:49,38.027344,26.020000,35.000000,-100
23-03-2021-10:51:52,36.093750,26.020000,35.000000,-37
23-03-2021-10:51:54,36.254883,26.010000,35.000000,-100
23-03-2021-10:51:56,36.738281,26.020000,35.000000,-100
23-03-2021-10:51:59,37.221680,26.020000,35.000000,-100
23-03-2021-10:52:01,37.382812,26.020000,35.000000,-100
23-03-2021-10:52:03,38.349609,26.010000,35.000000,-100
23-03-2021-10:52:06,37.436523,26.030001,35.000000,-80
23-03-2021-10:52:08,38.188477,26.040001,35.000000,-100
23-03-2021-10:52:10,37.060547,26.030001,35.000000,-100
23-03-2021-10:52:13,36.738281,26.040001,35.000000,-100
23-03-2021-10:52:15,35.825195,26.040001,35.000000,-100
23-03-2021-10:52:18,35.932617,26.040001,35.000000,-99
23-03-2021-10:52:20,36.899414,26.040001,35.000000,-100
23-03-2021-10:52:22,36.845703,26.049999,35.000000,-100
23-03-2021-10:52:25,36.201172,26.049999,35.000000,-83
23-03-2021-10:52:27,35.073242,26.040001,35.000000,-100
23-03-2021-10:52:29,34.965820,26.040001,35.000000,-99
23-03-2021-10:52:32,35.395508,26.040001,35.000000,-100
23-03-2021-10:52:34,34.589844,26.040001,35.000000,-97
23-03-2021-10:52:36,34.267578,26.040001,35.000000,-92
23-03-2021-10:52:39,34.428711,26.040001,35.000000,-99
23-03-2021-10:52:41,34.912109,26.030001,35.000000,-100
23-03-2021-10:52:43,35.234375,26.040001,35.000000,-100
23-03-2021-10:52:46,35.502930,26.040001,35.000000,-99
23-03-2021-10:52:48,34.482422,26.040001,35.000000,-93
23-03-2021-10:52:50,33.461914,26.040001,35.000000,-85
23-03-2021-10:52:53,33.085938,26.040001,35.000000,-73
23-03-2021-10:52:55,33.085938,26.040001,35.000000,-75
23-03-2021-10:52:57,33.085938,26.059999,35.000000,-71
23-03-2021-10:53:00,33.247070,26.040001,35.000000,-74
23-03-2021-10:53:02,33.515625,26.049999,35.000000,-67
23-03-2021-10:53:04,33.515625,26.040001,35.000000,-64
23-03-2021-10:53:07,32.602539,26.049999,35.000000,-55
23-03-2021-10:53:09,31.796875,26.040001,35.000000,-17
23-03-2021-10:53:11,32.871094,26.020000,35.000000,-83
23-03-2021-10:53:14,33.193359,26.030001,35.000000,-54
23-03-2021-10:53:16,33.837891,26.030001,35.000000,-66
23-03-2021-10:53:18,33.515625,26.030001,35.000000,-38
23-03-2021-10:53:21,33.193359,26.030001,35.000000,-33
23-03-2021-10:53:23,32.548828,26.020000,63.000000,100
23-03-2021-10:53:25,31.904297,26.030001,63.000000,100
23-03-2021-10:53:28,32.011719,26.030001,63.000000,100
23-03-2021-10:53:30,32.387695,26.010000,63.000000,100
23-03-2021-10:53:32,33.408203,26.010000,63.000000,100
23-03-2021-10:53:35,33.837891,26.020000,63.000000,100
23-03-2021-10:53:37,33.461914,25.990000,63.000000,100
23-03-2021-10:53:39,33.837891,26.020000,63.000000,100
23-03-2021-10:53:42,32.441406,26.010000,63.000000,100
23-03-2021-10:53:44,32.441406,26.020000,63.000000,100
23-03-2021-10:53:47,33.676758,26.030001,63.000000,100
23-03-2021-10:53:49,34.213867,26.020000,63.000000,100
23-03-2021-10:53:51,34.536133,26.030001,63.000000,100
23-03-2021-10:53:54,34.536133,26.040001,63.000000,100
23-03-2021-10:53:56,35.126953,26.040001,63.000000,100
23-03-2021-10:53:58,33.837891,26.049999,63.000000,100
23-03-2021-10:54:01,35.073242,26.049999,63.000000,100
23-03-2021-10:54:03,36.845703,26.049999,63.000000,100
23-03-2021-10:54:05,37.060547,26.059999,63.000000,100
23-03-2021-10:54:08,36.416016,26.059999,63.000000,100
23-03-2021-10:54:10,35.180664,26.059999,63.000000,100
23-03-2021-10:54:12,35.610352,26.059999,63.000000,100
23-03-2021-10:54:15,36.469727,26.080000,63.000000,100
23-03-2021-10:54:17,37.114258,26.090000,63.000000,100
23-03-2021-10:54:19,36.523438,26.090000,63.000000,100
23-03-2021-10:54:22,37.436523,26.090000,63.000000,100
23-03-2021-10:54:24,37.543945,26.090000,63.000000,100
23-03-2021-10:54:26,38.886719,26.100000,63.000000,100
23-03-2021-10:54:29,38.618164,26.100000,63.000000,100
23-03-2021-10:54:31,38.779297,26.110001,63.000000,100
23-03-2021-10:54:33,40.498047,26.100000,63.000000,100
23-03-2021-10:54:36,40.283203,26.090000,63.000000,100
23-03-2021-10:54:38,39.907227,26.100000,63.000000,100
23-03-2021-10:54:40,38.403320,26.090000,63.000000,100
23-03-2021-10:54:43,38.940430,26.090000,63.000000,100
23-03-2021-10:54:45,39.316406,26.100000,63.000000,100
23-03-2021-10:54:47,40.444336,26.100000,63.000000,100
23-03-2021-10:54:50,42.216797,26.110001,63.000000,100
23-03-2021-10:54:52,43.666992,26.120001,63.000000,100
23-03-2021-10:54:54,44.204102,26.120001,63.000000,100
23-03-2021-10:54:57,44.902344,26.129999,63.000000,100
23-03-2021-10:54:59,46.191406,26.129999,63.000000,100
23-03-2021-10:55:01,46.728516,26.139999,63.000000,100
23-03-2021-10:55:04,47.695312,26.139999,63.000000,100
23-03-2021-10:55:06,46.674805,26.139999,63.000000,100
23-03-2021-10:55:09,46.728516,26.150000,63.000000,100
23-03-2021-10:55:11,47.963867,26.150000,63.000000,100
23-03-2021-10:55:13,50.541992,26.160000,63.000000,72
23-03-2021-10:55:16,50.649414,26.150000,63.000000,100
23-03-2021-10:55:18,50.756836,26.150000,63.000000,100
23-03-2021-10:55:20,50.756836,26.150000,63.000000,100
23-03-2021-10:55:23,52.368164,26.160000,63.000000,100
23-03-2021-10:55:25,53.120117,26.170000,63.000000,100
23-03-2021-10:55:27,53.173828,26.160000,63.000000,100
23-03-2021-10:55:30,55.161133,26.160000,63.000000,69
